,income_am,profit_last_am,profit_am,damage_am,damage_inc,crd_lim_rec,credit_use_ic,gluten_ic,lactose_ic,insurance_ic,spa_ic,empl_ic,cab_requests,married_cd,bar_no,sport_ic,neighbor_income,age,marketing_permit,urban_ic,client_segment,sect_empl,prev_stay,prev_all_in_stay,divorce,fam_adult_size,children_no,tenure_mts,company_ic,claims_no,claims_am,nights_booked,shop_am,shop_use,retired,gold_status,dining_ic_False,dining_ic_True,dining_ic_missing,presidential_False,presidential_True,presidential_missing,gender_M,gender_V,score_pos,score_neg,tenure_started_in_season,is_return_customer,outcome_profit,outcome_damage_inc,outcome_damage_amount,actual_profit
81,2.279244684025651,0.9418428690102906,3.43121493053932,-0.3404754447302267,-0.4227992502284711,-0.7340812408607925,False,False,False,False,False,False,1.0620554643691098,False,-0.7223684876352348,False,1.337522549236737,2.0016694626673712,True,False,2.0879252248750206,-0.2352414963959727,True,False,False,-1.2634257618193272,-0.4444456864071988,-1.6331101254279283,False,-0.2857456398198083,-0.0912139694362561,-1.5679038494581954,-0.2991473452172895,False,True,False,True,False,False,True,False,False,False,True,-0.7936159957415815,-0.497502528661401,True,True,11187.507399202319,False,0.0,11187.507399202319
427,2.367907410855117,0.3317690176650888,3.617271716260877,-0.3404754447302267,0.67515063518159,-0.7340812408607925,False,False,False,False,False,False,-1.316948775817696,True,-0.010834393230082,False,-0.9568726261240796,0.1051497807513901,True,True,2.0879252248750206,0.99296673741879,True,False,False,1.2788021402593193,-0.4444456864071988,-0.5863724052409972,False,7.334138088708412,-0.0912139694362561,-0.7184519664840575,-0.2991473452172895,False,False,True,True,False,False,True,False,False,True,False,-1.7767372660235177,0.144821903644074,False,True,9878.734463741032,False,0.0,9878.734463741032
256,2.483178778495933,-0.0715383200491446,3.645301858600319,0.500443745456371,2.871050406001712,0.7825686063684081,False,False,True,False,True,False,-0.9770910272195812,True,0.4231033657061672,True,-1.015005363677036,0.2948017489429883,True,True,2.0879252248750206,-0.2352414963959727,True,True,False,1.2788021402593193,-0.4444456864071988,0.5796139159798883,False,4.286184597297124,-0.0912139694362561,0.0970600713482016,6.665014726469873,True,False,True,True,False,False,False,True,False,True,False,1.3895777033117307,1.5999656563839728,True,True,8656.40760343651,True,849.1223501600292,7807.285253276481
84,1.5579413658856922,1.1081855172119013,1.5805134797913538,3.403562584601928,7.262849947641957,0.5659043424785223,True,False,True,True,True,False,0.7221977157709947,True,-0.010834393230082,True,0.1785505059352027,-0.7166754147455351,True,True,-0.422646681883792,-0.2352414963959727,True,False,False,0.0076881892199959,-0.4444456864071988,-1.109741265334463,False,-0.2857456398198083,-0.0912139694362561,-1.5679038494581954,-0.2991473452172895,False,False,True,True,False,False,True,False,False,False,True,-2.188205253626027,1.3261364562797304,False,True,7040.581061313517,False,0.0,7040.581061313517
78,1.0883960607670595,0.5844861313582198,1.42866623338259,-0.3404754447302267,1.773100520591651,2.5158827174874943,False,True,True,True,True,False,0.7221977157709947,True,1.8846178842999035,True,1.3450397675804309,0.1051497807513901,False,True,0.8326392714956142,-0.2352414963959727,True,True,False,1.2788021402593193,1.9007145312307867,1.3613547449802548,False,-0.2857456398198083,-0.0912139694362561,-1.5679038494581954,2.118792271788844,True,False,True,True,False,False,True,False,False,True,False,0.1095931630870153,0.5063178613581443,False,True,7426.96176094339,True,1452.0164313012842,5974.945329642105
48,2.458990723693724,0.7764693379846005,2.914650826290853,-0.3404754447302267,-0.4227992502284711,0.7825686063684081,False,False,False,False,False,False,-0.9770910272195812,True,0.7342314604940818,True,-0.953448693493686,1.6223655262841752,True,False,2.0879252248750206,-0.2352414963959727,True,False,False,-1.2634257618193272,-0.4444456864071988,0.7386120506918273,False,-0.2857456398198083,-0.0912139694362561,-0.7184519664840575,-0.2991473452172895,False,True,True,True,False,False,True,False,False,True,False,-0.8232082227610241,-0.336935841611978,True,True,6257.55289590421,True,929.7324958484476,5327.820400055763
253,2.5612039745764688,0.4669806301689056,2.904963549837443,-0.3404754447302267,-0.4227992502284711,-0.7340812408607925,False,False,True,False,False,False,-0.2973755300233507,True,0.7342314604940818,False,0.9070133135562792,0.2948017489429883,True,True,2.0879252248750206,0.99296673741879,True,True,False,1.2788021402593193,3.073294640049779,-0.0563786228678674,False,-0.2857456398198083,-0.0912139694362561,-0.7184519664840575,-0.2991473452172895,False,False,True,True,False,False,True,False,False,True,False,1.2072207738536158,-0.9724786960058964,True,True,6470.385087087832,True,1176.087015811215,5294.2980712766175
149,0.6902407570361226,1.1988017300603844,0.7312720958037507,-0.3404754447302267,-0.4227992502284711,-0.7340812408607925,False,False,True,True,True,False,-1.316948775817696,True,0.862064799851884,False,-0.1604543951860897,0.80054033078725,True,True,0.8326392714956142,-0.2352414963959727,True,False,False,-1.2634257618193272,-0.4444456864071988,-0.2021269130204781,False,-0.2857456398198083,-0.0912139694362561,-1.5679038494581954,-0.2991473452172895,False,True,False,True,False,False,True,False,False,True,False,0.639981509674231,0.6770152108756355,True,True,4827.434509869056,False,0.0,4827.434509869056
74,2.14438299054925,1.3602547886487812,1.9918117382796223,-0.3404754447302267,-0.4227992502284711,1.865889925817837,False,False,False,False,False,False,0.7221977157709947,True,0.9765732179063428,True,0.8818087613357759,0.9269749762483154,True,True,2.0879252248750206,-0.2352414963959727,True,True,False,0.0076881892199959,-0.4444456864071988,0.8181111180477968,False,-0.2857456398198083,-0.0912139694362561,-0.9118643239273904,6.765571066362336,True,False,True,True,False,False,True,False,False,True,False,-1.4398556380083034,0.1991014766383534,True,True,5783.8372172962245,True,1117.8354945745812,4666.001722721643
85,-0.9513577364538528,-1.2941124294769455,2.351716496797039,7.319450584680662,2.871050406001712,-0.0840884491911351,False,False,False,False,False,False,1.0620554643691098,True,-2.3000555304261963,True,1.599271378224143,-0.4638061238234042,True,True,-0.422646681883792,-0.2352414963959727,False,False,False,1.2788021402593193,-0.4444456864071988,-1.0964914207751346,False,-0.2857456398198083,-0.0912139694362561,-0.7184519664840575,-0.2991473452172895,False,False,False,True,False,False,True,False,False,False,True,-0.1441294829389911,0.0676430618504689,True,False,4529.489248286207,False,0.0,4529.489248286207
